posted_date,county,travel_status
2020-03-03 10:36:00,Adams,Normal
2020-03-09 09:54:00,Allen,Normal
2020-03-18 11:49:00,Bartholomew,Normal
2020-03-18 10:18:00,Benton,Normal
2020-03-20 09:16:00,Blackford,Watch
2020-03-17 04:19:00,Boone,Normal
2020-03-20 10:22:00,Brown,Normal
2020-03-18 11:48:00,Carroll,Normal
2020-03-20 09:37:00,Cass,Watch
2020-03-19 08:13:00,Clark,Normal
2020-02-20 10:04:00,Clay,Normal
2020-02-28 10:15:00,Clinton,Normal
2020-03-19 12:22:00,Crawford,Normal
2020-03-20 04:25:00,Daviess,Normal
2020-03-21 03:45:00,Dearborn,Normal
2020-03-16 11:36:00,Decatur,Normal
2020-03-20 05:01:00,Dekalb,Normal
2020-03-20 01:04:00,Delaware,Normal
2020-03-19 02:37:00,Dubois,Normal
2020-03-02 11:42:00,Elkhart,Normal
2020-02-14 02:31:00,Fayette,Normal
2019-10-12 03:38:00,Floyd,Not Reporting
2020-03-16 09:28:00,Fountain,Normal
2020-03-21 12:31:00,Franklin,Normal
2020-03-02 07:55:00,Fulton,Normal
2020-03-20 09:45:00,Gibson,Normal
2020-03-19 03:04:00,Grant,Watch
2020-03-17 12:01:00,Greene,Normal
2020-03-17 03:49:00,Hamilton,Normal
2020-03-21 05:03:00,Hancock,Watch
2020-03-19 03:21:00,Harrison,Normal
2020-02-27 01:06:00,Hendricks,Normal
2020-03-19 01:10:00,Henry,Watch
2020-03-21 01:30:00,Howard,Watch
2020-03-19 12:10:00,Huntington,Normal
2020-03-18 03:33:00,Jackson,Normal
2020-02-06 11:04:00,Jasper,Normal
2020-02-27 09:19:00,Jay,Not Reporting
2020-03-19 07:37:00,Jefferson,Normal
2019-10-13 02:58:00,Jennings,Normal
2019-12-18 09:17:00,Johnson,Normal
2020-03-21 01:19:00,Knox,Normal
2020-03-01 12:22:00,Kosciusko,Normal
2020-03-18 06:16:00,LaGrange,Normal
2020-03-04 10:25:00,Lake,Not Reporting
2020-03-02 08:31:00,LaPorte,Normal
2020-03-19 11:33:00,Lawrence,Normal
2020-03-19 02:11:00,Madison,Watch
2020-03-19 05:24:00,Marion,Watch
2020-03-01 08:24:00,Marshall,Normal
2020-03-19 03:20:00,Martin,Normal
2020-02-27 04:44:00,Miami,Normal
2020-03-17 10:25:00,Monroe,Normal
2020-03-18 12:06:00,Montgomery,Normal
2019-12-19 07:40:00,Morgan,Normal
2020-02-27 10:01:00,Newton,Normal
2020-03-17 10:22:00,Noble,Normal
2020-03-20 01:54:00,Ohio,Normal
2019-10-21 10:06:00,Orange,Normal
2020-03-20 10:55:00,Owen,Normal
2020-03-11 10:17:00,Parke,Normal
2020-03-17 09:14:00,Perry,Normal
2020-03-19 05:10:00,Pike,Normal
2020-02-27 07:34:00,Porter,Normal
2020-03-18 07:37:00,Posey,Normal
2020-03-03 07:53:00,Pulaski,Normal
2020-03-20 05:47:00,Putnam,Normal
2020-02-27 01:37:00,Randolph,Normal
2020-03-17 12:57:00,Ripley,Normal
2020-03-20 05:42:00,Rush,Advisory
2020-03-19 10:00:00,Scott,Normal
2020-03-20 05:59:00,Shelby,Normal
2019-10-21 10:11:00,Spencer,Normal
2020-03-19 02:55:00,St. Joseph,Watch
2020-03-16 02:20:00,Starke,Normal
2020-02-27 04:24:00,Steuben,Normal
2020-03-19 09:16:00,Sullivan,Watch
2020-03-16 07:00:00,Switzerland,Normal
2020-03-09 09:58:00,Tippecanoe,Normal
2020-03-21 05:59:00,Tipton,Watch
2019-10-22 08:34:00,Union,Normal
2020-03-17 11:38:00,Vanderburgh,Normal
2020-03-18 02:30:00,Vermillion,Normal
2020-03-20 11:20:00,Vigo,Normal
2020-03-19 11:02:00,Wabash,Advisory
2020-03-09 02:01:00,Warren,Normal
2020-03-17 04:37:00,Warrick,Normal
2020-03-16 12:46:00,Washington,Normal
2020-03-20 07:06:00,Wayne,Watch
2020-03-03 08:13:00,Wells,Normal
2020-03-17 09:04:00,White,Normal
2020-03-20 10:18:00,Whitley,Normal
